ScientificName_Initial;AphiaID;ScientificName_Accepted_2December2025
Pelogenia arenosa;131071;Pelogenia arenosa
Perioculodes longimanus;102915;Perioculodes longimanus
Perrierella audouiniana;102710;Perrierella audouiniana
Phascolion (Phascolion) strombus strombus;410749;Phascolion (Phascolion) strombus strombus
Phaxas pellucidus;140737;Phaxas pellucidus
Pherusa plumosa;130113;Pherusa plumosa
Philocheras bispinosus;107557;Philocheras bispinosus
Philocheras trispinosus;107562;Philocheras trispinosus
Pholoe baltica;130599;Pholoe baltica
Phoronis sp.;;
Photis longicaudata;102383;Photis longicaudata
Phyllodoce spp.;;
Pilumnus hirtellus;107418;Pilumnus hirtellus
Poecilochaetus serpens;130711;Poecilochaetus serpens
Polititapes rhomboides;745846;Polititapes rhomboides
Prionospio cirrifera;131153;Prionospio cirrifera
Prionospio malmgreni;131159;Prionospio malmgreni
Prionospio multibranchiata;131160;Prionospio multibranchiata
Processa spp.;;
Protodorvillea kefersteini;130041;Protodorvillea kefersteini
Psamathe fusca;152249;Psamathe fusca
Pseudopolydora pulchra;131169;Pseudopolydora pulchra
Pseudopotamilla reniformis;130963;Pseudopotamilla reniformis
Ptychodera sp.;;
Pyrgiscus crenatus;836211;Pyrgiscus crenatus
Sabella pavonina;130967;Sabella pavonina
Scalibregma celticum;130979;Scalibregma celticum
Scolelepis (Scolelepis) foliosa;334741;Scolelepis (Scolelepis) foliosa
Scolelepis bonnieri;131171;Scolelepis bonnieri
Scolelepis tridentata;131178;Scolelepis tridentata
Scoloplos armiger;130537;Scoloplos armiger
Sigalion mathildae;131072;Sigalion mathildae
Socarnes filicornis;102725;Socarnes filicornis
Spio decorata;152314;Spio decorata
Spiophanes bombyx;131187;Spiophanes bombyx
Spisula elliptica;140300;Spisula elliptica
Spisula subtruncata;140302;Spisula subtruncata
Sthenelais boa;131074;Sthenelais boa
Sthenelais limicola;131077;Sthenelais limicola
Streblosoma cabiochi;1447083;Streblosoma cabiochi
Syllidae;948;Syllidae
Syllis parapari;196002;Syllis parapari
Synarachnactis lloydii;1674631;Synarachnactis lloydii
Synchelidium haplocheles;102924;Synchelidium haplocheles
Synchelidium maculatum;102928;Synchelidium maculatum
Tanaidacea;1133;Tanaidacea
Terebellidae;982;Terebellidae
Terebellides gentili;1374754;Terebellides gentili
Thelepus spp.;;
Thracia phaseolina;152378;Thracia phaseolina
Thyasira flexuosa;141662;Thyasira flexuosa
Timoclea ovata;141929;Timoclea ovata
Tritia reticulata;876821;Tritia reticulata
Tritia varicosa;1391526;Tritia varicosa
Tryphosa nana;102748;Tryphosa nana
Tryphosella sarsi;102771;Tryphosella sarsi
Tryphosites longipes;102779;Tryphosites longipes
Turritellinella tricarinata;1381415;Turritellinella tricarinata
Upogebia deltaura;107739;Upogebia deltaura
Urothoe spp.;;
Varicorbula gibba;378492;Varicorbula gibba
Venus casina;141934;Venus casina
Websterinereis glauca;130426;Websterinereis glauca
